Date,Price,Open,High,Low,Volume,Change(%),DayName,Year
2012-09-18,649.9,672.5,672.5,646.28,3610103,-3.15,Tuesday,2012
2012-09-17,671.05,709.13,710.78,667.75,2547195,-5.02,Monday,2012
2012-09-14,706.55,714.0,719.9,701.08,1407420,-0.32,Friday,2012
2012-09-13,708.85,706.5,711.98,704.78,940605,0.2,Thursday,2012
2012-09-12,707.45,698.48,710.5,694.95,1057233,1.6,Wednesday,2012
2012-09-11,696.33,684.5,697.8,682.03,637090,1.55,Tuesday,2012
2012-09-10,685.73,691.6,691.95,682.98,738012,-1.08,Monday,2012
2012-09-08,693.25,690.23,694.7,690.23,42619,-0.01,Saturday,2012
2012-09-07,693.35,695.0,698.4,689.45,1318328,0.81,Friday,2012
2012-09-06,687.8,682.05,689.95,676.83,1145842,0.81,Thursday,2012
2012-09-05,682.25,669.75,685.5,666.0,1014480,1.76,Wednesday,2012
2012-09-04,670.43,666.45,673.5,661.03,754009,0.22,Tuesday,2012
2012-09-03,668.93,675.0,677.45,666.5,611913,-0.44,Monday,2012
2012-08-31,671.88,678.5,679.5,667.33,886924,-1.71,Friday,2012
2012-08-30,683.58,669.95,694.4,661.7,1666716,1.78,Thursday,2012
2012-08-29,671.65,675.0,679.0,667.5,1069645,-0.56,Wednesday,2012
2012-08-28,675.45,663.48,677.33,657.5,1133102,2.31,Tuesday,2012
2012-08-27,660.23,658.1,665.45,657.5,483600,-0.18,Monday,2012
2012-08-24,661.43,660.0,664.2,656.5,789469,-0.05,Friday,2012
2012-08-23,661.73,645.88,663.0,645.88,1168657,2.46,Thursday,2012
2012-08-22,645.83,647.95,654.5,644.05,567048,-0.54,Wednesday,2012
2012-08-21,649.33,639.95,652.5,638.55,1025788,1.57,Tuesday,2012
2012-08-17,639.3,632.53,642.25,632.0,643788,1.19,Friday,2012
2012-08-16,631.78,635.08,635.78,626.05,894146,-0.38,Thursday,2012
2012-08-14,634.2,630.0,636.63,629.63,568465,0.17,Tuesday,2012
2012-08-13,633.15,639.55,639.55,628.63,714019,-1.07,Monday,2012
2012-08-10,640.03,628.0,642.5,627.88,1541178,1.74,Friday,2012
2012-08-09,629.08,625.13,633.93,625.13,564737,0.72,Thursday,2012
2012-08-08,624.6,632.5,633.33,623.2,821500,-1.18,Wednesday,2012
2012-08-07,632.03,619.5,633.1,617.33,1049577,2.86,Tuesday,2012
2012-08-06,614.45,622.5,624.0,612.6,507770,-0.65,Monday,2012
2012-08-03,618.45,614.0,620.13,609.05,488868,0.33,Friday,2012
2012-08-02,616.4,614.98,618.35,611.0,475529,0.66,Thursday,2012
2012-08-01,612.33,619.05,622.4,611.05,647875,-1.53,Wednesday,2012
2012-07-31,621.83,617.5,624.63,613.13,989982,1.03,Tuesday,2012
2012-07-30,615.5,617.45,621.43,607.28,1312856,0.47,Monday,2012
2012-07-27,612.65,607.5,615.1,601.63,921488,2.24,Friday,2012
2012-07-26,599.23,606.5,610.5,595.1,1472873,-1.21,Thursday,2012
2012-07-25,606.58,602.0,608.5,598.45,833015,0.33,Wednesday,2012
2012-07-24,604.58,604.05,609.33,598.55,824046,-0.42,Tuesday,2012
2012-07-23,607.13,604.0,613.6,600.5,1451599,-0.72,Monday,2012
2012-07-20,611.53,600.5,614.0,600.15,1689113,1.84,Friday,2012
2012-07-19,600.5,601.5,605.0,597.63,667676,0.48,Thursday,2012
2012-07-18,597.65,597.5,602.2,589.25,1487643,0.79,Wednesday,2012
2012-07-17,592.95,609.0,612.0,587.6,3191908,-1.78,Tuesday,2012
2012-07-16,603.68,624.5,629.63,601.45,1810313,-3.36,Monday,2012
2012-07-13,624.7,636.9,642.0,621.5,3608577,1.08,Friday,2012
2012-07-12,618.0,612.5,625.0,609.65,3929540,-1.77,Thursday,2012
2012-07-11,629.15,626.63,637.25,626.63,1017269,-0.27,Wednesday,2012
2012-07-10,630.85,632.5,635.13,624.78,1258799,0.18,Tuesday,2012
2012-07-09,629.7,622.5,632.28,621.68,956384,0.93,Monday,2012
2012-07-06,623.88,620.0,626.4,613.5,964964,0.58,Friday,2012
2012-07-05,620.3,623.93,623.93,617.6,760438,-0.58,Thursday,2012
2012-07-04,623.93,621.75,624.75,615.78,650903,0.68,Wednesday,2012
2012-07-03,619.7,632.5,634.9,615.15,1113646,-1.59,Tuesday,2012
2012-07-02,629.73,639.5,639.5,628.23,1055550,-1.41,Monday,2012
2012-06-29,638.73,631.68,643.5,631.45,995075,1.48,Friday,2012
2012-06-28,629.43,623.48,631.95,618.13,947114,0.98,Thursday,2012
2012-06-27,623.35,618.13,629.4,618.13,1152931,0.94,Wednesday,2012
2012-06-26,617.55,608.75,618.5,608.53,554857,1.51,Tuesday,2012
2012-06-25,608.38,618.5,619.25,605.5,794379,-1.35,Monday,2012
2012-06-22,616.73,607.13,619.95,607.13,959780,0.77,Friday,2012
2012-06-21,612.03,622.53,626.0,604.5,2077990,-2.29,Thursday,2012
2012-06-20,626.4,637.0,637.0,621.65,876870,-1.66,Wednesday,2012
2012-06-19,636.98,628.45,639.63,627.55,884529,1.34,Tuesday,2012
2012-06-18,628.58,638.0,643.18,625.0,747694,-1.2,Monday,2012
2012-06-15,636.23,627.03,640.0,624.5,993020,1.47,Friday,2012
2012-06-14,627.0,624.5,630.75,622.5,735562,0.29,Thursday,2012
